EIN,Name
043368158,FOUNTAIN OF LIFE OUTREACH MINISTRIES NEW BIRTH CHURCH TDCC
043370241,SIPPICAN WOMANS CLUB
043371964,THE WOMENS EDGE INC
043372808,GROWTH THROUGH LEARNING INC
043372866,WELLESLEY COLLEGE ALUMNAE ASSOC 1997 CLASS
043381522,CHARLES RIVER GIRLS HOCKEY INC
043389211,EMPLOYERS AGAINST DOMESTIC VIOLENCE INC
043389284,LA LECHE LEAGUE INTERNATIONAL INC LLL ARLINGTON ID 719
043391863,FATHERS AND MOTHERS INFANTS ELDERS AND YOUTH INC FAMILY INC
043391957,CHERNOBYL CHILDREN PROJECT USA INC
043391962,LA LECHE LEAGUE INTERNATIONAL INC LLL STOW
043398743,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MARTHAS VINEYARD SEA COAST DEFENCE
043400639,SWANSEA GIRLS SOFTBALL LEAGUE
043404820,SOMERSET SENIOR GIRLS SOFTBALL LEAGUE INC
043409728,NATIONAL PARENTS ORGANIZATION INC
043411054,FRIENDS FIGHTING BREAST CANCER INC
043412128,WOMENS HOUSE OF PEACE INC
043416887,MASHPEE WOMENS CLUB
043418091,NEW SCHOOL FOR WOMEN INCORPORATED
043419577,NATIONAL ASSOCIATION OF NEGRO BUSINESS AND PROFESSIONAL WOMENS C BOSTON AND VICINITY CLUB INC
043424501,VICTORY GIRL PRODUCTIONS
043424615,WOMEN OF COLOR AIDS COUNCIL INC
043426463,WESTBOROUGH ROTARY FUND INC
043427743,HELP US GET SAFE H U G S II INC
043427966,ARTEMIS FUND INC
043428856,S A R A H S A R A H PROGRAM
043431534,HEALTHWORKS COMMUNITY FITNESS INC
043432269,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 972 000 90000962 ORCHARD COVE
043438481,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC HAMPSHIRE FRANKLIN COUNTY MOTC
043441215,WE SHARE FOUNDATION ANDOVER CHARITABLE TRUST
043449703,ROCHESTER GIRLS SOFTBALL LEAGUE
043451582,PEABODY YOUTH GIRLS SOFTBALL LEAGUE INC
043452297,HARVARD BUSINESS SCHOOL WOMENS ASSOCIATION
043454124,LEAP SELF DEFENSE INC
043458096,HARBORCOV INC
043460243,MASSACHUSETTS NATIONAL ORG FOR WOMEN FOUNDATION INC
043464134,THE SENECA INC
043464607,RAIDERS SOFTBALL INC
043464902,NATIONAL COUNCIL OF NEGRO WOMEN INC GREATER BOSTON SECTION
043466314,MASS GENERAL BRIGHAM INCORPORATED BRIGHAM AND WOMENS PHYSICIANS ORG
043468952,SETON ACADEMY FOR GIRLS INC NANCY STURCHIO
043469330,WELLESLEY COLLEGE ALUMNAE ASSOC 1999 CLASS
043469680,OBSTETRICAL SOCIETY OF BOSTON INC
043473545,OUR DEAF SURVIVORS CENTER INC
043477556,MASOC INC
043478066,SUDBURY WAYLAND LINCOLN DOMESTIC VIOLENCE ROUNDTABLE INC
043478437,WOMENS CHRISTIAN OUTREACH
043482871,GLOBAL MINISTRIES OF FAITH INC
043487205,HEALTH CARE WITHOUT WALLS INC
043488106,TAILORED FOR SUCCESS
043489727,VALLEY WOMENS HISTORY COLLABORATIVE INC
043490188,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC HAMPDEN COUNTY MOTHERS OF TWINS
043492739,PHYLLIS VECCHIA CREATIVE DRAMATICS INC
043493675,BARAKAT INC
043493775,WOMEN OF WORSHIP WOW MINISTRIES
043494863,BRIGHAM AND WOMENS OB BYN RSCH AND ED
043495354,WOMENS LEAGUE OF READING INC
043502480,CAPE COD HEALTHCARE INC WOMENS IMAGING CENTER OF CAPE COD
043502604,EASTERN MASSACHUSETTS ABORTION FUND EASTERN MA ABORTION FUND
043503216,BELMONT GIRLS SOFTBALL ASSOCIATION
043505713,LA LECHE LEAGUE INTERNATIONAL INC LLL CHICOPEE SPRINGFIELD ID 673
043506574,FIND THE CAUSE INC
043507716,NEIGHBOR TO NEIGHBOR MASSACHUSETTS EDUCATION FUND INC
043514623,WELLESLEY COLLEGE ALUMNAE ASSOC 2000 CLASS
043515144,BREAST CANCER GOLF CHALLENGE INC
043516496,ZONTA INTERNATIONAL QUABOAG VALLEY
043519394,DOMESTIC VIOLENCE SERVICES NETWORK INC
043519538,PIONEER VALLEY CHAPTER OF LPGA GIRLS GOLF CLUB
043519672,NATIONAL CHARITY LEAGUE MIDDLESEX CHAPTER
043520881,RESEARCH FOUNDATION FOR THE TREATMENT OF OVARIAN CANCER INC
043521379,CHARLESTOWN MOTHERS ASSOCIATION INC
043521476,EAST BOSTON GIRLS SOFT BALL INC
043522717,VIRGINIA THURSTON HEALING GARDEN INC THE VIRGINIA THURSTON HEALING GARD
043525027,SOUTH ATTLEBORO GIRLS RECREATION ASSOCIATION
043526409,WOMEN IN LAW ENFORCEMENT
043528797,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC SEASIDE MOM
043528815,GIVING TREES FOR LIFE INC
043529643,BERKSHIRE NURSING FAMILIES INC
043532986,CLEARWAY CLINIC INC
043534113,WOMEN IN THE ENTERPRISE OF SCIENCE AND TECHNOLOGY INC
043539167,ACT NOW INC
043540499,LA LECHE LEAGUE INTERNATIONAL INC LLL FRAMINGHAM ID 703
043544605,EASTON WOMEN OF TODAY INC
043544923,NATIONAL ASSOCIATION OF NEGRO BUSINESS AND PROFESSIONAL WOMENS C METRO BAY AREA CLUB
043546884,M PATRICIA CRONIN FOUNDATION TO FIGHT OVARIAN CANCER INC
043546913,ROAD RUNNERS CLUB OF AMERICA PIONEER VALLEY WOMENS RUNING CLUB
043546990,LA LECHE LEAGUE INTERNATIONAL INC LLL SOUTH BERKSHIRE COUNTY ID 722
043549382,BRAZILIAN WOMENS GROUP INC
043552206,UKRAINIAN NATIONAL WOMENS LEAGUE OF AMERICA INC 126
043552606,LA LECHE LEAGUE INTERNATIONAL INC LLL WORCESTER ID 674
043553385,LA LECHE LEAGUE INTERNATIONAL INC LLL STURBRIDGE
043554619,TRANSITIONAL WOMEN OF INDEPENDANT NEEDS
043554741,DRESS FOR SUCCESS BOSTON INC
043555217,SEEKONK GIRLS SOFTBALL LEAGUE INC
043559339,LA LECHE LEAGUE INTERNATIONAL INC LLL ASHLAND HOLLISTON HOPKINGTON
043559924,NWS ELITE INC
043562282,CULTURAL ACCESS CONSORTIUM INC
043564460,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 2001 CLASS
043567790,FRIENDS OF MAITI NEPAL A NON PROFIT CORPORATION
043568422,LEICESTER WOMENS CLUB
043570050,MASSACHUSETTS BLACK WOMEN ATTORNEYS FOUNDATION INC
043573832,FAMILY NONVIOLENCE INC
043577826,CATHOLIC DAUGHTERS OF THE AMERICAS 2492 SENORA DE GUADALUPE
043582042,WOMEN EMPOWERED TO MAKE HEALTHY CHOICES INC
043583648,RETT SYNDROME ASSOCIATION OF MASSACHUSETTS INC
043583668,MARTHAS VINEYARD GIRLS ICE HOCKEY BOOSTER
043680146,LA LECHE LEAGUE OF LEXINGTON MASSACHUSETTS LEAGUE OF MA RI VT LLL LEXINGTON MA ID 13376
043748737,LADIES LIBRARY ASSOCIATION OF RANDOLPH
046004286,VINCENT MEMORIAL HOSPITAL FOUNDATION INC
046004739,BETHANY UNION FOR YOUNG WOMEN
046014041,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC UXBRIDGE WOMANS CLUB
046014064,SALEM PROTESTANT LADIES ASSOC U W THOMAS F ODELL
046038785,SARGENT MURRAY GILMAN HOUGH HOUSE ASSN
046040207,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC TEMPLETON WOMANS CLUB
046041135,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC MILLBURY WOMANS CLUB INC
046043203,CATHOLIC DAUGHTERS OF THE AMERICAS 864 SACRED HEART
046046577,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC HARVARD WOMANS CLUB
046047246,AMHERST WOMANS CLUB INC
046047508,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC GFWC READING WOMANS CLUB
046047918,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION DEBORAH SAMPSON DAR
046047961,WELLESLEY HILLS WOMANS CLUB SCHOLARSHIP TRUST
046048141,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION PRUDENCE WRIGHT DAR
046048175,ZETA ALPHA ALUMNAE ASSOCIATION
046048542,TAU ZETA EPSILON ALUMNAE ASSOCIATION
046048666,BEVERLY FEMALE CHARITABLE SOCIETY
046048755,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COL JOHN ROBINSON DAR
046049426,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF MERRIMACK VALLEY
046050645,GARDNER COLBY MINISTERIAL RELIEF SOCIETY
046050736,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COL TIMOTHY PICKERING DAR
046051117,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC BRAINTREE WOMENS CLUB
046051819,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC THURSDAY MORNING CLUB
046051852,ALUMNAE I ASSOCIATION OF SIMMONS UNIVERSITY
046052429,LADIES BENEVOLENT SOCIETY OF NORTHFIELD FARMS
046053237,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION DEBORAH WHEELOCK DAR
046053252,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC CABOT CLUB MIDDLEBOROUGH
046053314,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC WALPOLE WOMANS CLUB
046053407,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC GFWC BOSTON PARL LAW CLUB
046053971,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC PRESIDENTS CLUB OF MASSACHUSETTS
046054572,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION LUCY JACKSON
046054595,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MARGERY MORTON DAR
046056769,MANCHESTER WOMANS CLUB
046057355,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MANSFIELD DAR
046057629,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FRAMINGHAM DAR
046059616,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION CAPTAIN JOHN JOSLIN JR DAR
046059735,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC MELROSE WOMANS CLUB
046062192,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC CHICOPEE FALLS WOMANS CLUB
046063865,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC WOMANS CLUB OF BROCKTON
046064180,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC STOUGHTON WOMANS CLUB
046064461,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC NORTHBOROUGH WOMANS CLUB
046065023,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY COLLEGE ALUMNAE BOSTON
046065916,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION CAPT JOB KNAPP DAR
046066358,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC WORCESTER
046067330,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION CHIEF JUSTICE CUSHING DAR
046068293,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION OLD CONCORD DAR
046071076,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION WAYSIDE INN DAR
046071612,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC GLOUCESTER WOMANS CLUB
046074385,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION DOLLY WOODRIDGE EUINCE DAY DAR
046074459,SHAKESPEARE SOCIETY ALUMNAE ASSOCIATION
046077907,WELLESLEY COLLEGE ALUMNAE ASSOC 1958 CLASS
046087738,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION GENERAL ISRAEL PUTNAM DAR
046088067,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC GFWC RANDOLPH JUNIOR WOMANS CLUB
046088367,MASSACHUSETTS MEMORIAL HOSPITALS NURSES ALUMNAE ASSOCIATION INC
046088747,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FIRST RESISTANCE DAR
046093211,WOMENS SEAFARERS FRIEND SOCIETY CORP
046108562,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION HANNAH GODDARD DAR
046109258,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC WOMANS CLUB OF NEWTON HIGHLANDS
046109477,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MASSACHUSETTS STATE SOCIETY DAR
046110301,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ATTLEBORO DAR
046111616,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COL THOMAS LOTHROP OLD COLONY DAR
046111774,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION CAPE ANN DAR
046111835,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FANEUIL HALL OLD STATE HOUSE DAR
046112283,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION NEW BEDFORD DAR
046112349,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MERCY WARREN DAR
046112438,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION LYDIA COBB QUEQUECHAN DAR
046112566,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC OUSAMEQUIN CLUB BRIDGEWATER
046112823,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION PAUL REVERE DAR
046112824,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COLONEL TIMOTHY BIGELOW DAR
046112858,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION GENERAL EBENEZER LEARNED DAR
046113114,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION LEXINGTON DAR
046113379,WOMENS COMMUNITY LEAGUE OF WESTON
046113392,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC FRAMINGHAM WOMENS CLUB
046114170,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC BEDFORD WOMANS COMMUNITY CLUB
046119537,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION JOSEPH COOLIDGE DAR
046119575,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BRIGADIER GENERAL JAMES BRICKETT OL
046121699,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 17 SOMERVILLE ASSEMBLY
046122851,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC WHITINSVILLE WOMANS CLUB
046123322,JUNIOR LEAGUE OF SPRINGFIELD MASS
046129176,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COLONEL WILLIAM MC INTOSH DAR
046133809,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC BOSTON
046147035,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF THE PIONEER VLLY
046149003,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC FALMOUTH WOMANS CLUB
046151904,NATIONAL COUNCIL OF JEWISH WOMEN INCORPORATED NEW BEDFORD SECTION
046151906,NATIONAL COUNCIL OF JEWISH WOMEN INCORPORATED WORCESTER SECTION
046171406,WELLESLEY COLLEGE ALUMNAE ASSOC 1941 CLASS
046180543,WELLESLEY COLLEGE ALUMNAE ASOCIATION 1951 CLASS
046183703,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 895 000 HADASSAH METROWEST
046183704,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA INC 43 230 000 90000727 EVERETT CHELSEA
046183706,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 266 000 90000728 GLOUCESTER
046183718,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 884 000 90000747 MYSTIC VALLEY
046183722,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA INC 58 498 000 90000952 NEEDHAM
046183735,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA INC SHAR S
046183736,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 949 000 90002392 GREATER SPRINGF
046183742,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 819 000 90000960 WELLESLEY WESTO
046196028,DAUGHTERS OF THE AMERICAN COLONISTS MASSACHUSETTS STATE SOCIETY
046249988,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC HARWICH WOMANS CLUB
046294332,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC HOPKINTON WOMENS CLUB
046301617,WELLESLEY COLLEGE ALUMNAE ASSOC WORCESTER WELLESLEY CLUB
046356854,BIRTHRIGHT OF NEW BEDFORD INC
046357232,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 753 000 90000959 SUDBURY WAYLAND
046360759,TAUNTON GIRLS SOFTBALL INC
046408324,UXBRIDGE WOMANS CLUB SCHOLARSHIP FUND
046541215,CAPE ANN CHAPTER OF THE DAUGHTERS OF THE AMERICAN REVOLUTION TR SUSAN M HERRON ET AL CO TTEES
050378571,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC RHODE ISLAND
050420697,TRUESDALE NURSES ALUMNI ASSOCIATION
050438566,LA LECHE LEAGUE INTERNATIONAL INC LLL SOMERSET BRISTOL COUNTY
050442537,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA INC 78 000 000 90001291 WESTERN NEW ENG
050452946,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1988 CLASS OF
050488514,LA LECHE LEAGUE INTERNATIONAL INC LLL NEWPORT COUNTY ID 1852
050494597,WOMAN TO WOMAN SUPPORT NETWORK INC
060956271,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC BRIDGEPORT
061007608,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC SAN DIEGO COUNTY
061011858,WELLESLEY COLLEGE ALUMNAE ASSOC 1979 CLASS
061026120,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1955 CLASS OF
061027091,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1967 CLASS OF
061027632,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1951 CLASS OF
061043316,WELLESLEY COLLEGE ALUMNAE ASSOC 1981 CLASS
061085387,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY ALUMNAE CLUB OF NASHVILLE
061085391,WELLESLEY COLLEGE ALUMNAE ASSOC WASHINGTON STATE WELLESLEY CLUB
061098984,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1957 CLASS OF
061143845,WELLESLEY COLLEGE ALUMNAE ASSOC 1985 CLASS
061172521,WELLESLEY COLLEGE ALUMNAE ASSOC 1986 CLASS
061267519,WELLESLEY COLLEGE ALUMNAE ASSOC 1989 CLASS
061455086,WELLESLEY COLLEGE ALUMNAE ASSOC 1996 CLASS
061622668,CENTERING HEALTHCARE INSTITUTE INC
061627454,YWCA NEW ENGLAND COUNCIL
061646966,MISSAO CRISTA MUNDIAL INC
061652217,WOMEN OF POWER EDUCATIONAL SERVICES INC
061714258,WOMEN AT WORK MUSEUM INC
061728348,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC WESTERN MASS CHEETAHS
061828407,MEENAKSHI FOUNDATION INCORPORATED
066074893,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC NEW HAVEN
066108475,WELLESLEY COLLEGE ALUMNAE ASSOC HARTFORD WELLESLEY CLUB
066183629,WELLESLEY COLLEGE ALUMNAE ASSOC SOUTHEASTERN CONNECTICUT WELLESLEY
068167678,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 533 000 90002390 NORTHAMPTON AMH
112432759,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC LONG ISLAND
112649351,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1968 CLASS OF
113692512,JULIES FAMILY LEARNING PROGRAM INC
113790125,ANNETTES CLIMB INC
113822037,RUNWAY FOR RECOVERY INC
113824951,MASS DRIFTERS JUNIOR OLYMPIC SOFTBALL
131514976,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC NEW YORK CITY
131547107,WELLESLEY COLLEGE ALUMNAE ASSOC NEW YORK WELLESLEY CLUB
133041423,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 1980 CLASS
133190926,JOURNAL OF FEMINIST STUDIES IN RELIGION INC
133202333,SOCIETY FOR MENSTRUAL CYCLE RESEARCH
133223455,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1979 CLASS OF
134219436,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC NORTH SHORE MOM
134334549,WOMANADE AT THE PINEHILLS INC
136161347,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY IN WESTCHESTER
136227462,A C N M FOUNDATION INC
141599487,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC MID HUDSON VALLEY
141733128,WELLESLEY COLLEGE ALUMNAE ASSOC 1990 CLASS
141857230,FRAMINGHAM GIRLS FASTPITCH SOFTBALL
141866590,MOTHERWOMAN INC
141892866,SCIENCE CLUB FOR GIRLS INC
141928232,WILDE IRISH WOMEN REPERTORY COMPANY
141932732,MASS BAY GIRLS LACROSSE LEAGUE INC
141995858,ROAD RUNNERS CLUB OF AMERICA TITLE IX GIRLS RUNNING CLUB INC
146048825,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 267 000 90002423 GLOVERSVILLE
156022030,WELLESLEY COLLEGE ALUMNAE ASSOC CENTRAL NEW YORK WELLESLEY CLUB
161064895,WELLESLEY COLLEGE ALUMNAE ASSOC BUFFALO WELLESLEY CLUB
161070096,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 43 346 000 90002428 ITHACA
161082191,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC GENESEE VALLEY
161711739,HERVOICES
161728112,BNOT TORAH DAUGHTERS OF TORAH
161729913,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC SOUTHCOAST MOTHERS OF MULTIPLES
161760056,NATIONAL BLACK WOMENS SOCIETY
200067510,WOMENEXPLORE LECTURE AND DISCUSSION FORUM INC
200129450,CASEY GIRL FOUNDATION INC
200135733,JUDITH ROSE SHEA FOUNDATION FOR OVARIAN CANCER INC
200156651,ATLANTIC WOMENS HEALTH INC
200355361,MANSFIELD GIRLS SOFTBALL ASSOCIATION
200367394,MASSACHUSETTS HOCKEY CHILDRENS FOUNDATION INC
200397727,SOUTH COAST GIRLS SOFTBALL
200705230,CAMBRIDGE GIRLS SOFTBALL LEAGUE
200708514,WOMEN IN TRANSITION HOUSING INC
201156838,AMERICAN FAMILY CENTER INC
201261647,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 2003 CLASS OF
201424492,YOUNG WOMENS FINANCIAL NETWORK INC
201440761,CAPPELLA CLAUSURA INC
201462777,MANSFIELD MOTHERS CLUB INC
201465838,CURES FOR OVARIAN CANCER INC
201546869,HINGHAM GIRLS HOCKEY BOOSTERS INC
201633687,NORTH SHORE FAIRY GODMOTHER PROJECT
201845370,KONBIT POU AYITI INC
201926620,FALMOUTH GIRLS YOUTH LACROSSE INC
201939694,CENTRAL MASS JUNIORS VOLLEYBALL CLUB
202001289,FUND WOMENS RECOVERY INC MARGARET LAVELO
202048343,F HOLLAND DAY CENTER FOR HEALING AND CREATIVITY
202166463,AMESBURY GIRLS YOUTH SOFTBALL LEAGUE INC
202310717,WALPOLE GIRLS SOFTBALL ASSOCIATION
202321377,STRONG WOMEN STRONG GIRLS INC
202380720,METHUEN GIRLS SOFTBALL INCOPORATED
202537553,ANNE ROGAL HELMAN OVARIAN CANCER FUND
202576370,MEGAGPO INC
202616574,WOMENADE OF WAREHAM INC
202699177,MASSACHUSETTS CONFERENCE FOR WOMEN INC
202767231,NORTHBRIDGE YOUTH SOFTBALL ASSOCIATION
202871803,CHELMSFORD GIRLS SOFTBALL ASSOCIATION LEAGUE INC
202968817,HINGHAM GALS INC
203442971,FRIENDS OF ACTON BOXBOROUGH GIRLS HOCKEY INC
203517424,LA LECHE LEAGUE INTERNATIONAL INC LLL DANVERS ID 693
203578234,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE 2004 CLASS OF
203611695,BEVERLY GIRLS SOFTBALL INC
203631773,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE 2005 CLASS OF
203803238,REFLECT AND STRENGTHEN INC
203995543,CREATIVE ACTION INSTITUTE INC
204027171,JULIE FUND INC
204028364,WOMEN NETWORKING IN ELECTRONIC TRANSACTIONS
204241653,GRAFTON GIRLS SOFTBALL ASSOCIATIONINC
204284833,OVATIONS FOR A CURE INC
204576506,CIRCLE OF WOMEN REACH AND TEACH ACROSS BORDERS
204647421,DGH INCORPORATED DONNAS GIFT OF HOPE
204661646,BRIDGEWATER GIRLS SOFTBALL LEAGUE
205011983,MASS STATE COMMITTEE OF THE NATIONAL MUSEUM OF WOMEN IN THE AR
205072705,ACTON BOXBOROUGH GIRLS YOUTHLACROSSE INC
205336236,FEMALE LEADERSHIP INTEREST COUNCILINC
205377460,WOMENS WELL INC
205421350,SABRINAS FOUNDATION INC
205697682,WOMEN IN SOBER HOUSING INC
205946832,FLYING KITES INC
208063509,MOTHERS MILK BANK NORTHEAST INC
208285276,NEW ORLEANS WOMEN ARTIST COLLECTIVEINCORPORATED NEW ORLEANS WOMEN ARTIST COLLECTIVE
208384202,WELLESLEY COLLEGE ALUMNAEASSOCIATION OKLAHOMA WELLESLEY CLUB
208431552,WOMEN OF MOVEMENT CHRISTIAN MINISTRY
208561545,WTS BOSTON CHARITABLE FUND INC
208871117,PROJECT HAVE HOPE INC
208902374,VIRTUOUS WOMEN USA INC
208980613,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 2007 CLASS OF
222169466,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC MONMOUTH COUNTY NJ
222192929,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE NORTHERN NEW JERSEY
222196613,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC BERGEN PASSAIC ROCKLAND
222333758,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1956 CLASS OF
