"Please Cite as: Women’s Philanthropy Institute, Indiana University Lilly Family School of Philanthropy & DataLake, LLC. (2023). Women & Girls Index [Data file]. http://www.philanthropy.iupui.edu/wgi",
050258900,LINCOLN SCHOOL
050258937,WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND
050259274,YWCA OF NORTHERN RHODE ISLAND
050268165,MIRIAM HOSPITAL WOMENS ASSOCIATION
050268627,ELIZABETH HIGGINSON WEEDEN HOME FOR INDIGENT AND INFIRM FEMALES I
050283791,JEANNE JUGAN RESIDENCE OF THE LITTLE SISTERS OF THE POOR INC
050300724,GIRL SCOUTS OF SOUTHEASTERN NEW ENGLAND
050310596,YWCA OF RHODE ISLAND
050369858,WOMENS CENTER OF RHODE ISLAND INC
050370419,SOJOURNER HOUSE WEBOSSET HILL STATION
050370880,GFWC WOMENS CLUB OF SOUTH COUNTY INC
050377538,DOMESTIC VIOLENCE RESOURCE CENTER OF SOUTH COUNTY INC
050378571,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC RHODE ISLAND
050381031,NEWPORT COUNTY WOMENS RESOURCE CENTER
050383354,WOMENS DEVELOPMENT CORPORATION
050384053,ELIZABETH BUFFUM CHACE CENTER
050384580,RHODE ISLAND COALITION AGAINST DOMESTIC VIOLENCE
050385696,DAY ONE
050387153,CHILDRENS SHELTER OF BLACKSTONE VALLEY INC
050390392,RHODE ISLAND WOMENS GOLF ASSOCIATION JUNIOR SCHOLARSHIP FUN
050391656,LA LECHE LEAGUE INTERNATIONAL INC LLL CUMBERLAND LINCOLN
050413808,RIGHT TO LIFE SERVICES INC
050415082,NATIONAL PERINATAL INFORMATION CENTER INC
050417439,ST FRANCIS XAVIER ALUMNAE ASSOCIATION
050420697,TRUESDALE NURSES ALUMNI ASSOCIATION
050437774,LEAGUE OF WOMEN VOTERS OF RHODE ISLAND EDUCATION FUND
050438566,LA LECHE LEAGUE INTERNATIONAL INC LLL SOMERSET BRISTOL COUNTY
050439164,HARMONY WOMENS CARE
050442537,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA INC 78 000 000 90001291 WESTERN NEW ENG
050447637,SOCIETY OF WOMEN ENGINEERS NEW ENGLAND SHORELINE SECTION
050451835,PONAGANSET BASKETBALL ASSOCIATION
050452434,RHODE ISLAND MEDICAL WOMENS ASSOCIATION
050452946,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1988 CLASS OF
050455698,ALUMNAE ASSOCIATION OF THE NEWPORT HOSPITAL SCHOOL OF NURSING INC
050456847,WEST WARWICK GIRLS SOFTBALL LEAGUE
050460001,LIGHTHOUSE FOR YOUTH
050460224,BLACK STONE VALLEY ADVOCACY CENTER
050460321,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 58 880 000 90002389 RHODE ISLAND
050461293,HAVEN OF GRACE MINISTRIES INC
050463800,WOMENS HEALTH AND EDUCATION FUND
050464314,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC RHODE ISLAND PARENTS OF MULTIPLES
050464862,PORTUGUESE AMERICAN WOMENS ASSOCIATION
050478893,RHODE ISLAND BREAST CANCER COALITION INC
050482634,CHARIHO GIRLS SUMMER SOFTBALL LEAGUE
050484347,THE GREATER KILLINGTON WOMENS CLUB
050488514,LA LECHE LEAGUE INTERNATIONAL INC LLL NEWPORT COUNTY ID 1852
050488903,COVENTRY GIRLS SOFTBALL LEAGUE INC
050490501,HEALING CO OPERATIVE
050494597,WOMAN TO WOMAN SUPPORT NETWORK INC
050498852,DESTINY HOUSE INC
050500688,BRADLEY HOSPITAL FOUNDATION
050507019,NEWPORT SHOWHOUSE GUILD
050509831,WESTERLY GIRLS SOFTBALL LEAGUE INC
050513121,LA LECHE LEAGUE INTERNATIONAL INC 1853 LLL COVENTRY ID
050513547,LA LECHE LEAGUE INTERNATIONAL INC LLL PROVIDENCE
050513621,SMITHFIELD GIRLS BASKETBALL LEAGUE INC
050514107,RHODE ISLAND COALITION OF BLACK WOMEN INC
050514196,RHODE ISLAND BREASTFEEDING COALITION
050518792,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION AQUIDNECK ISLAND DAR
050523962,ST LOUIS OVARIAN CANCER AWARENESS
050527800,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SUSANNAH CHANDLER DAR
050530676,AWESOME OPTIONS PREGNANCY SUPPORT CENTER
050532415,COUNCIL FOR LIFE
050532843,PORT TAMPA CITY WOMANS CLUB INC
050533818,SARASOTA MEDICAL PREGNANCY CENTER INC
050534492,TAMPA HEATWAVE GIRLS FAST PITCH SOFTBALL ASSOCIATION
050538481,SOUTHERN MAINE FLAME SOFTBALL
050540868,KATY GIRLS SOFTBALL INC
050540987,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 107101 ALGONA IA
050541550,NEW HAMPSHIRE ASSOCIATION FOR INFANT MENTAL HEALTH
050542397,WOMEN DONORS NETWORK
050547810,LEAGUE OF BLACK WOMEN
050550536,COLUMBUS GIRLS BASKETBALL BACKCOURT CLUB INC
050550548,C O R MINISTRIES INC
050550922,REFUGE FOR GIRLS INTERNATIONAL INC
050554563,DAZ E SHOP INC
050556412,OASIS OF PEACE INC
050559274,WOMEN ENTREPRENEURS OF AMERICA INC
050563645,PENN TRAFFORD GIRLS FIELD HOCKEY
050566157,ARIZONA BREASTFEEDING COALITION
050570407,DANVILLE GIRLS SOFTBALL ASSOCIATION
050571419,NEW DAWN WOMENS CLINIC INC
050574638,SWISH STRAIGHT WOMEN IN SUPPORT OF HOMOS INC
050580573,WORKING WOMENS HISTORY PROJECT
050586146,AUNT DONNAS BUTTERFLY GARDEN INC
050592001,LEAGUE OF WOMEN VOTERS OF MICHIGAN EDUCATION FUND EDUCATION FUND
050596355,MOTHER PHONICS AND HER PUPPET CHILDREN
050596683,PUTNAM COUNTY FAMILY VIOLENCE TASK FORCE INC
050601551,MATRONA FOUNDATION
050601715,FELLOWSHIP ASSOCIATION OF SAINT THERESE
050602264,WOMANS CLUB OF ARANSAS COUNTY INC
050602437,MOTHERS LOVE HELPING HANDS
050610699,NATIONAL COUNCIL OF NEGRO WOMEN INC LEXINGTON CENTRAL KENTUCKY SECTION
050611415,SPECIAL DELIVERY INFANT ADOPTION AGENCY
050616943,AMERICAN EAGLES GIRLS FASTPITCH INC
050617917,FAITH INNER HEALING RECOVERY HOME FOR WOMEN AND CHILD
050620677,PSI IOTA XI SORORITY IOTA SIGMA ST JOSEPH IL
050625047,PROFESSIONAL WOMENS NETWORK FOR SERVICE
050630992,NA AH ILLAHEE FUND
050631726,A COMPANY OF GIRLS
050632018,SIGMA NU BREAST CANCER RESEARCH FUND
051018959,NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN COLONISTS DUNCAN CHAPTER
056000211,JUNIOR LEAGUE OF RHODE ISLAND
056009123,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BRISTOL DAR
056009634,WESTERLY COLLEGE CLUB
056010237,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION NARRAGANSETT COOKE GASPEE
056010639,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION PHEBE GREENE WARD DAR
056012916,LADIES PASCOAG LIBRARY ASSOCIATION
056013176,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION RHODE ISLAND STATE SOCIETY DAR
056013531,INTERNATIONAL ORDER OF THE RAINBOW GIRLS RHODE ISLAND GRAND ASSEMBLY
056014323,NATIONAL COUNCIL OF JEWISH WOMEN INCORPORATED RHODE ISLAND SECTION
056015349,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BEACON POLE HILL DAR
056015384,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION RHODE ISLAND INDEPENDENCE DAR
056017767,HARMONY INC
056035625,AMIT CHILDREN INC RANAANA
060263565,PLANNED PARENTHOOD OF SOUTHERN NEW ENGLAND INC
060469945,NEW HAVEN WOMANS CLUB INCORPORATED
060512730,CHURCH WOMEN UNITED SOUTHINGTON
060567752,NORMA F PFRIEM BREAST CARE CENTER INC
060598620,YOUNG WOMENS CHRISTIAN ASSOCIATION NEW BRITAIN
060646565,YMCA CAMP MOHAWK INC
060646679,ELIZA HUNTINGTON MEMORIAL HOME OF NORWICH CONN INC
060646786,MISS PORTERS SCHOOL INC
060646904,SOUTH CONGREGATIONAL CHURCH
060646950,GIRLS INC OF WESTERN CONNECTICUT
060646961,WESTOVER SCHOOL INC
060646962,WESTPORT WOMANS CLUB INC
060646969,WOMENS LEAGUE INC
060646982,YWCA OF GREATER NEW HAVEN
060646991,THE CENTER FOR FAMILY JUSTICE INC
060646992,YWCA GREENWICH CONNECTICUT INC
060646993,YWCA HARTFORD REGION INC
060647007,CONVENT OF THE SACRED HEART
060647011,DAUGHTERS OF THE HOLY SPIRIT ADMINISTRATIVE OFFICES
060653118,GREENWICH ACADEMY INC
060653189,ST AGNES HOME CORPORATION
060653272,GREENWICH EXCHANGE FOR WOMENS WORK INC
060660002,SISTERS OF ST JOSEPH OF CHAMBERY
060660403,WOMENS AUXILIARY OF SAINT FRANCIS HOSPITAL AND MEDICAL CENTER INC
060662119,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION FAITH TRUMBULL DAR
060662134,GIRL SCOUTS OF CONNECTICUT INC
060662148,GIRLS INCORPORATED OF MERIDEN
060665976,SHELTER FOR WOMEN INC
060672786,JUNIOR LEAGUE OF HARTFORD INCORPORATED
060677728,WINDHAM COMMUNITY MEMORIAL HOSPITAL INC WOMENS AUX
060679087,WOMANS CLUB OF GREENWICH INC DO NOT ADD TO GEN
060685112,MISSIONARY SISTERS OF MOTHER OF GOD MOTHER OF GOD ACADEMY
060689699,ETHEL WALKER SCHOOL INC
060691379,ALL SAINTS PARISH CORPORATION
060730902,CONNECTICUT PROVINCE OF THE SISTERS OF NOTRE DAME DE NAMUR
060733804,JUNIOR LEAGUE OF NEW HAVEN INCORPORATED
060772028,FAIRFIELD WOMENS EXCHANGE INC
060776636,DOMINICAN NUNS OF NORTH GUILFORD CONN INC
060806125,WOMANS CLUB OF OLD SAYBROOK
060846161,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 000 000 90000107 CONNECTICUT
060861212,BRANFORD WOMANS CLUB INC
060882297,HOME FOR THE AGED OF THE LITTLE SISTERS OF THE POOR INCORPORATED ST JOSEPHS RESIDENCE
060884365,WATER OAK COMMUNITY WOMEN INC
060913214,CONNECTICUT WOMENS EDUCATIONAL AND LEGAL FUND INC
060915300,RAPE CRISIS CENTER OF MILFORD INC
060919415,GENERAL FEDERATION OF WOMENS CLUB GFWC WOMANS CLUB OF GREATER NEW MIL
060933468,CONNECTICUT JUNIOR WOMEN INC JUNIOR WOMANS CLUB OF MILFORD
060933640,WILTON WOMENS CLUB INC
060934069,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION CAPTAIN NOAH GRANT DAR
060935397,YWCA OF DARIEN NORWALK INC
060935477,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 134 000 90000109 CHESHIRE
060940003,NATIONAL COUNCIL OF JEWISH WOMEN INCORPORATED DANBURY GR SECTION
060941869,BIRTHRIGHT OF GREATER STAMFORD INC
060946740,WALLINGFORD GIRLS SOFTBALL LEAGUE INC
060950718,SAFE FUTURES INC
060951304,CONNECTICUT JUNIOR WOMEN INC JR WOMENS CLUB OF LITCHFIELD HILLS
060955046,GUILFORD CIVIC WOMEN INC
060955190,LA LECHE LEAGUE INTERNATIONAL INC CONNECTICUT
060955270,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SALISBURY ARSENAL DAR
060956271,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC BRIDGEPORT
060958802,CHURCH WOMEN UNITED NEW HAVEN
060960005,HARTFORD INTERVAL HOUSE INC
060962087,BIRTHRIGHT OF GREATER NORWICH INC
060966209,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC FAIRFIELD VILLAGES
060968557,PRUDENCE CRANDALL CENTER INC
060972610,MERIDEN WALLINGFORD CHRYSALIS INC
060972683,PRISCILLA MAXWELL ENDICOTT SCHOLARSHIP FUND
060982785,NATIONAL SOCIETY DAUGHTERS OF FOUNDERS AND PATRIOTS OF AMERICA SOUTHERN CALIFORNIA CHAPTER NSDFPA
060982786,NATIONAL SOCIETY DAUGHTERS OF FOUNDERS AND PATRIOTS OF AMERICA EASTERN KANSAS CHAPTER NSDFPA
060983036,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 233 000 90000112 FAIRFIELD
060983819,THE CENTER FOR EMPOWERMENT AND EDUCATION INC
060985675,CONNECTICUT COALITION AGAINST DOMESTIC VIOLENCE
060985899,CATHOLIC DAUGHTERS OF AMERICA ST ELIZABETH ANN SETON
060987371,UKRAINIAN NATIONAL WOMENS LEAGUE OF AMERICA INC NEW ENGLAND REGIONAL COUNCIL
060987819,MOTHERING CENTER INC
060996479,SAFE HAVEN OF GREATER WATERBURY INC
061007608,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC SAN DIEGO COUNTY
061008234,CATHOLIC DAUGHTERS OF THE AMERICAS CONNECTICUT STATE COURT
061010762,MARLBOROUGH JUNIOR WOMANS CLUB
061011858,WELLESLEY COLLEGE ALUMNAE ASSOC 1979 CLASS
061026120,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1955 CLASS OF
061027091,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1967 CLASS OF
061027632,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1951 CLASS OF
061030004,ABC IN DARIEN INC A BETTER CHANCE
061033609,SEXUAL ASSAULT CRISIS CENTER OF EASTERN CONNECTICUT INC
061037583,THE ROWAN CENTER INC
061043001,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 263 000 90000113 GLASTONBURY
061043316,WELLESLEY COLLEGE ALUMNAE ASSOC 1981 CLASS
061045648,BIRTHRIGHT OF GREATER WESTBROOK INC
061055236,WOMENS AUX OF THE JEWISH HOME FOR THE ELDRY OF FAIRFIELD CNTY INC
061057356,DOMESTIC VIOLENCE CRISIS CENTER
061060952,S C S C WOMENS ASSOCIATION
061072379,PROJECT SAGE INC
061076946,CONNECTICUT ALLIANCE TO END SEXUAL VIOLENCE INC
061078644,NATIONAL COUNCIL OF JEWISH WOMEN INCORPORATED HARTFORD GR SECTION
061083254,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1946 CLASS OF
061085387,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY ALUMNAE CLUB OF NASHVILLE
061085391,WELLESLEY COLLEGE ALUMNAE ASSOC WASHINGTON STATE WELLESLEY CLUB
061085983,SUSAN B ANTHONY PROJECT INC
061098984,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 1957 CLASS OF
061101144,CONNECTICUT JUNIOR WOMEN INC LYME OLD LYME JUNIOR WOMENS CLUB
061103000,DAY ONE NEW YORK INC
061132473,GBAPP INC
061132921,YALE UNIVERSITY WOMENS ORGANIZATION INCORPORATING YALE NEWCOMERS
061134747,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 301 000 90000114 HARTFORD
061143845,WELLESLEY COLLEGE ALUMNAE ASSOC 1985 CLASS
061149219,CONNECTICUT FRIENDS OF ABANDONED CHILDREN INC
061172521,WELLESLEY COLLEGE ALUMNAE ASSOC 1986 CLASS
061175686,COALITION OF 100 BLACK WOMEN OF LOWER FAIRFIELD COUNTY INC
061183822,PARENTS AVAILABLE TO HELP INC PATH
061186179,AMOS HOUSE INC
061187507,GENERAL FEDERATION OF WOMENS CLUBS WOMENS CLUB DANBURY NEW FAIRFIELD
061196624,CONNECTICUT JUNIOR WOMEN INC ORANGE COMMUNITY WOMEN INC
061197041,NATIONAL ASSOCIATION OF NEGRO BUSIN ESS AND PROFESSIONAL WOMENS C GREATER BRIDGEPORT CLUN OF THE NATI
061214017,CARING FAMILIES PREGNANCY SERVICES INC
061216423,HAAGENSEN RESEARCH FOUNDATION INC
061216605,OLDER WOMENS LEAGUE NORTHWEST CT CHAPTER
061221774,DOMINICAN FATHERS AND SISTERS OF THE IMMACULAT HEART OF MARY INC
061222485,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS WATERBURY AREA MOM
061226774,SMITH COLLEGE CLASS OF 1973
061231426,WELLSPRING TRUST INC
061231541,BIRTHRIGHT OF GREATER MERIDEN INC
061242548,LEAGUE OF WOMEN VOTERS OF GREATER MIDDLETOWN EDUCATION FUND INC
061257490,PROJECT QUETZAL INC
061259353,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 751 000 90000126 STRATFORD
061267152,CONNECTICUT JUNIOR WOMEN INC MIDDLEBURY JUNIOR WOMANS CLUB INC
061267212,CONNECTICUT JUNIOR WOMEN INC MIDDLEFIELD JUNIOR WOMANS CLUB
061267519,WELLESLEY COLLEGE ALUMNAE ASSOC 1989 CLASS
061268874,EBONY HORSEWOMEN INC
061270241,LA LECHE LEAGUE INTERNATIONAL INC LA LECHE LEAGUE ALLIANCE FOR BREAST
061271582,YALE JOURNAL OF LAW AND FEMINISM YALE LAW SCHOOL 127 WALL ST
061273957,CONNECTICUT JUNIOR WOMEN INC SOUTH WINDSOR JUNIOR WOMENS CLUB IN
061285357,SOCIETY OF WOMEN ENGINEERS CONNECTICUT SECTION
061286045,MATERNAL INFANT SERVICES NETWORK OF ORANGE SULLIVAN AND ULSTER CNTY INC
061287502,PREGNANCY SUPPORT CENTER INC CARE NET PREGNANCY SUPPORT CENTER
061287542,M O S T INC MOTHERS OF SUPERTWINS
061288400,CENTER FOR MARRIAGE LAW INC
061297313,G W S INC
061299239,INTERNATIONAL HEALTH AWARENESS NETWORK INC
061300216,MISSIONARY SISTERS OF THE BLESSED SACRAMENT
061316460,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 430 000 90000116 MANCHESTER
061316627,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 101022 GREATER WATERBURY CT
061321208,WOMEN INVOLVED IN NEWTOWN INC
061325622,AFRICAN AMERICAN WOMENS AGENDA INC
061326083,CONNECTICUT WOMENS CHORUS ANOTHER OCTAVE
061327816,CONNECTICUT JUNIOR WOMEN INC BETHLEHEM JUNIOR WOMENS CLUB INC
061333408,BIRTHRIGHT OF WINDHAM INC
061336239,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 101023 GREATER BRIDGEPORT CT
061336310,HOPELINE WOMENS CENTER INC
061337292,BETHEL RECOVERY CENTER INC
061346029,CAROLYNS PLACE
061354453,GIRLS SOFTBALL TRAVEL CLUB OF ENFIELD
061360082,ECHN WELLNESS SERVICES INC
061363950,DAUGHTERS OF THE BRITISH EMPIRE IN THE STATE OF CONNECTICUT ARUNDEL CHAPTER
061363952,DAUGHTERS OF THE BRITISH EMPIRE IN THE STATE OF CONNECTICUT ELIZABETH BARRETT BROWNING CHAPTER
061363985,DAUGHTERS OF THE BRITISH EMPIRE IN THE STATE OF CONNECTICUT SIR CHRISTOPHER WREN CHAPTER
061363993,DAUGHTERS OF THE BRITISH EMPIRE IN THE STATE OF CONNECTICUT TRAFALGAR CHAPTER
061363999,DAUGHTERS OF THE BRITISH EMPIRE IN THE STATE OF CONNECTICUT WORDSWORTH CHAPTER
061364051,WOMENS CAUCUS FOR ART CONNECTICUT
061367576,THE MICHAEL BOLTON CHARITIES INC
061377246,THE BRIDGE TO INDEPENDENCE AND CAREER OPPORTUNITIES CO TBICO
061380974,MANY COLORS OF A WOMAN INC
061390558,LEDYARD LITTLE LEAGUE INC
061392666,TEAM CONNECTICUT GIRLS BASKETBALL
061393135,CONNECTICUT JUNIOR WOMEN INC SIMSBURY JUNIOR WOMANS CLUB
061393138,CONNECTICUT JUNIOR WOMEN INC NEWTOWN JUNIOR WOMANS CLUB INC
061393146,CONNECTICUT JUNIOR WOMEN INC WALLINGFORD JUNIOR WOMANS CLUB INC
061393148,CONNECTICUT JUNIOR WOMEN INC WOODBURY JUNIOR WOMANS CLUB INC
061393418,CONNECTICUT JUNIOR WOMEN INC HEBRON WOMENS CLUB
061393422,CONNECTICUT JUNIOR WOMEN INC HADDAM JUNIOR WOMANS CLUB INC
061400165,NARAL PRO CHOICE CONNECTICUT FOUNDATION INC
061404134,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 931 000 90000133 CAPITOL AREA
061415573,BIRTHRIGHT OF NEWINGTON NEW BRITAIN INC
061419830,AVON JUNIOR WOMENS CLUB
061423868,BIRTHRIGHT OF GREATER DANBURY INCORPORATED
061427498,LEAGUE OF WOMEN VOTERS OF CONNECTICUT EDUCATION FUND INC
061427941,PERNEATHA SHERMAN CHRISTIAN WOMENS FELLOWSHIP INC
061428060,ELM CITY GIRLS CHOIR INC
061429283,GFWC THE HARWINTON WOMANS CLUB INC
061433724,NATIONAL COUNCIL OF NEGRO WOMEN INC CT001 GREATER BRIDGEPORT SECTION
061438136,NATIONAL CHARITY LEAGUE INC NEW CANAAN CHAPTER
061440315,UNITED FAMILIES FOR MIDWIFERY CARE
061440531,EMERGE INC
061441040,CONNECTICUT STORM BASKETBALL CLUB INC
061443581,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN GREATER MERIDEN
061448950,WOMENS FORUM OF LITCHFIELD CT
061449052,NORTH HAVEN GIRLS SOFTBALL LEAGUE INC
061449572,IGBO WOMENS ASSOCIATION OF CONNECTICUT
061453500,BREAST CANCER ALLIANCE INC
061455086,WELLESLEY COLLEGE ALUMNAE ASSOC 1996 CLASS
061455101,CAROLINE HOUSE INC
061459758,CONNECTICUT BREAST CANCER FOUNDATION INC
061461324,ASSOCIATION FOR WOMEN IN SCIENCE INC CONNECTICUT
061463466,MOTHER OF UNITY INC
061464884,WOLCOTT GIRLS LITTLE LEAGUE SOFTBALL ASSOCIATION INC BABCOCK GEORGE
061465200,THE FACE OF PRO LIFE INC
061466324,NATIONAL CHARITY LEAGUE INC RIDGEFIELD AREA CHAPTER
061469432,ALTRUSA INTERNATIONAL FOUNDATION INC NORTHEASTERN CONNECTICUT
061470354,WOMENS MENTORING NETWORK INC
061472524,DONATION CENTER FOUNDATION OF RHODE ISLAND
061478905,WILLINGTON JUNIOR LEAGUE INC
061483446,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 101019 WILLIMANTIC CT
061492895,CONNECTICUT WOMENS HALL OF FAME INC
061493737,WOMENS BUSINESS DEVELOPMENT COUNCIL INC
061495483,NATIONAL CHARITY LEAGUE CANAAN PARISH
061500439,HOPE AFTER LOSS INC
061510533,HAITIAN WOMEN ASSOCIATION OF CONNECTICUT INC
061515375,NATIONAL ASSOCIATION OF NEGRO BUSINESS AND PROFESSIONAL WOMENS C ELM CITY SENIOR CLUB
061521333,IN THE MAKING INC
061523806,LA LECHE LEAGUE INTERNATIONAL INC LLL LAKE RONKONKOMA
061526826,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 102135 MANHATTAN NY
061531384,THE CONNECTICUT WOMENS CONSORTIUM INC
061535869,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 33 973 000 90002329 SAFAD CHAPTER O
061536803,REFOCUS OUTREACH MINISTRY INC
061541020,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 19 BRANFORD ASSEMBLY
061546919,WOMEN OF WISDOM COLELLA ANGELA
061547401,NATIONAL CHARITY LEAGUE NUTMEG CHAPTER
061548619,BREAST CANCER SURVIVAL CENTER INC
061556361,CONNECTICUT BANDITS INC
061559473,WOMEN OF TOMORROW
061565090,BOOGIE FOR BREAST CANCER INC
061570391,FRIENDS OF SOUTH WINDSOR GIRLS TRAVEL BASKETBALL INC
061572059,AISHES CHAYIL DKIRYAS JOEL MOTHERS RELIEF CENTER INC
061572185,READ TO GROW INC
061573311,WOMENSLAW ORG
061573450,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC MOM OF LOWER FAIRFIELD CO
061579001,FOUNDATION FOR THE ADVANCEMENT OF MIDWIFERY INC
061579167,SISTERS OF LIFE
061583849,NEW YORK STATE ASSOCIATION OF MINISTERS WIVES AND MINISTERS WIDOWS
061587403,AURORA WOMEN AND GIRLS FOUNDATION INC
061588973,LA LECHE LEAGUE INTERNATIONAL INC LLL BRONX RIVERDALE
061591563,3 33 GROUP INC
061593776,NEW BIRTH DELIVERANCE CHRISTIAN CENTER
061594958,OPERATION SINGLE MOTHER
061595991,MOTHERS DAY DASH INC
061597429,DRESS FOR SUCCESS HARTFORD COUNTY INC
061600366,HAWKWING INC
061601200,CONNECTICUT SPIRIT BASKETBALL
061601623,THE MAYANGNA GIRLS PROJECT INC
061604710,MALTA HOUSE INC MALTA HOUSE OF GOOD COUNCIL
061605682,AIDS COALITION FOR HELEROSEXUAL TESTING NOW INC
061610761,RE ENTRY MINISTRY ALUMNAE INC
061610849,NATIONAL NETWORK OF ABORTION FUNDS NEW YORK ABORTION ACCESS FUND
061611025,ASSOCIATION DES FEMMES EN ACTION INC AFA INC
061611378,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA INC 12 169 000 90000111 DANBURY
061612892,LA LECHE LEAGUE INTERNATIONAL INC LLL BRANFORD ID 1081
061612895,LA LECHE LEAGUE INTERNATIONAL INC LLL CHESHIRE CT
061612896,LA LECHE LEAGUE INTERNATIONAL INC LLL HEBRON
061612897,LA LECHE LEAGUE INTERNATIONAL INC LLL DANBURY
061612901,LA LECHE LEAGUE INTERNATIONAL INC LLL ELLINGTON PM ID 1136
061612904,LA LECHE LEAGUE INTERNATIONAL INC LLL GREENWICH STAMFORD
061612906,LA LECHE INTERNATIONAL LLL HAMDEN NORTH HAVEN
061612908,LA LECHE LEAGUE INTERNATIONAL INC LLL CENTRAL SHORELINE
061612910,LA LECHE LEAGUE INTERNATIONAL INC LLL NEW MILFORD LAKE WARAMAUG
061612916,LA LECHE LEAGUE INTERNATIONAL INC LLL GREATER BRIDGEPORT
061612927,LA LECHE LEAGUE INTERNATIONAL INC LLL MILFORD SHELTON ORANGE
061612928,LA LECHE LEAGUE INTERNATIONAL INC LLL NEW BRITAIN BRISTOL
061612930,LA LECHE LEAGUE INTERNATIONAL INC LLL FARMINGTON VALLEY
061612933,LA LECHE LEAGUE INTERNATIONAL INC LLL WILLIMANTIC LEBANON
061613010,LA LECHE LEAGUE INTERNATIONAL INC LLL MONROE
061613050,LA LECHE LEAGUE INTERNATIONAL INC LLL GREATER NEW HAVEN
061613052,LA LECHE LEAGUE INTERNATIONAL INC LLL ROCKY HILL
061613053,LA LECHE LEAGUE INTERNATIONAL INC LLL SOUTH WINDSOR
061613054,LA LECHE LEAGUE INTERNATIONAL INC LLL SOUTHBURY
061613062,LA LECHE LEAGUE INTERNATIONAL INC LLL WATERBURY
061613063,LA LECHE LEAGUE INTERNATIONAL INC LLL NORWALK ID 1129
061614504,WOMENS PERSPECTIVE INC
061614714,LA LECHE LEAGUE INTERNATIONAL INC LLL THOMASTON
061614715,LA LECHE LEAGUE INTERNATIONAL INC LLL NORWICH ID 1073
061617635,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 12 198 000 90001950 GREATER NEWTOWN
061620781,CABLE FOUNDATION
061621708,DAUGHTERS OF CHARITY RESCUE MISSION
061622403,JAMYANG CHOLING NUNNERY INC
