,organizationName,id,name,description,address,categories,revenue,EIN,totcntrbgfts,totcntrbs,Name,boston_region
105,New Beginnings Reentry Services Inc,1710331,New Beginnings Reentry Services Inc,Part 1: supporting formely incarcerated women reenter society,55 Roxbury Street,GV,388836,811525549,277830.0,,NEW BEGINNINGS REENTRY SERVICES INC,No
106,West End House Girls Camp Inc,587887,West End House Girls Camp Inc,"Part 1: the mission is to positively influence the lives of a diverse community of girls by providing them with skills, support, and opportunities needed to grow into healthy, productive and responsible women",105 Allston St,GIRL,371586,263695198,222628.0,,WEST END HOUSE GIRLS CAMP INC,No
107,Daughters of Mary of Nazareth Inc,673392,Daughters of Mary of Nazareth Inc,"Part 1: the daughters of mary of nazareth (the ""community""), Inc is a roman Catholic religious community of women. It is a private association of the faithful in the archdiocese of boston and was founded in 2011 by mother olga of the sacred heart. They are exposed to prison ministry, hospital, nursing home and homeless ministry,parish & youth ministry, schools, universities & Catholic business organizations. - Part 3: see schedule o for line one page one mission statement",PO Box 51400,GEN,369353,300781498,445119.0,,DAUGHTERS OF MARY OF NAZARETH INC,No
108,Womens Golf Association of Massachusetts Inc,415666,Womens Golf Association of Massachusetts Inc,"Part 1: the women's golf association of massachusetts (wgam) is a non-profit organization founded in 1900 which seeks to nurture, foster, and promote the development of women and junior girl amateur golfers. Wgam creates opportunities for amateur golfers for instruction and participation in friendly competition. In fy2017, wgam offered 18 adult tournaments, as well as a junior championship. - Part 3: the women's golf association of massachusetts (wgam) is a non-profit organization founded in 1900 which seeks to nurture, foster, and promote the development of women and junior girl amateur golfers. Wgam creates opportunities for amateur golfers for instruction and participation in friendly competition. In fy2015, wgam offered over 18 adult tournaments, as well as a number of junior tournaments and instructional junior golf clinics.",300 ARNOLD PALMER BLVD,GIRL,354453,222691109,,,WOMENS GOLF ASSOCIATION OF MASSACHUSETTS INC,No
109,Boston Womens Fund Inc,411892,Boston Womens Fund Inc,"Part 1: to support community-based organizations & grassroots initiatives run by women and girls in order to create a society based on racial, economic and social justice. We strive for a world free of racism, poverty, and sexism.",2 Oliver Street 800,WSW,340191,222475551,992937.0,,BOSTON WOMENS FUND INC,No
110,Junior League of Boston Incorporated,1945757,Junior League of Boston Incorporated,"Part 1: the junior league of boston is an organization of women committed to promoting voluntarism, developing the potential of women, and improving communities through the effective action and leadership of trained volunteers. Its purpose is exclusively educational and charitable.",117 Newbury St,WSNW,317427,42104362,189010.0,,JUNIOR LEAGUE OF BOSTON INCORPORATED,No
111,Massachusetts Citizens for Children Inc Massachusetts Committee,282504,Massachusetts Citizens for Children Inc Massachusetts Committee,"Part 1: massachusetts citizens for children, Inc. Collaborates with state and local public agencies and private organizations to develop and promote programs, policies, campaigns, and initiatives that educate school and youth organization employees and citizens-at-large about child abuse, child sexual abuse and their prevention. - Part 3: see part i, line 1.",112 Water St 2nd FL,GV,316729,42276809,277620.0,,MASSACHUSETTS CITIZENS FOR CHILDREN INC MASSACHUSETTS COMMITTEE,No
112,National Cmv Foundation Inc,1620666,National Cmv Foundation Inc,"Part 1: our program activities are focused around congenital cmv education and advocacy. We deliver education about congenital cmv to families and women of childbearing age through digital platforms, strategic partnerships, public health initiatives, and grassroots advocacy efforts. We advocate for the screening of newborns so we May properly evaluate and identify these babies to enroll them in the proper treatment as standard of care. Our programs include the cmv community alliance; cmv partnership alliance; education & outreach services targeting the women of childbearing age and general public, childcare providers, and healthcare providers; advocacy support; and early career research awards - part 3: our mission is to prevent pregnancy loss, childhood death, and disability due to congenital cmv. Our strategic goals are to: raise awareness through advocacy accelerate mission-driven research target education programs grow resources in support of the mission demonstrate commitment to diversity, equity and inclusion",18th Floor,"GV,RH",315224,472329330,499784.0,,NATIONAL CMV FOUNDATION INC,No
113,Brazilian Womens Group Inc,1946489,Brazilian Womens Group Inc,"Part 1: to promote political and cultural awareness and contribute to the development of the brazilian community. - Part 3: the mission of the brazilian women's group, Inc. Is to promote political and cultural awareness and contribute to the development of the brazilian community.",697 Cambridge St Ste 106,WHSV,314473,43549382,365679.0,,BRAZILIAN WOMENS GROUP INC,No
114,Boston Girls Empowerment Network Inc,1943019,Boston Girls Empowerment Network Inc,"Part 1: key activities: capacity building - bgen helps gsos build the capacity (training & technical assistance) to improve services by incorporating effective gender-responsive practices to improve outcomes for women and girls. Gsos have access to gender-responsive training in: girls adolescent development, effective program design, emerging gender issues, cultural competence, female leadership development, etc. Collaboration - bgen works to promote connections and strengthen ongoing working relationships among organizations that serve women and girls. We host a monthly meeting and quarterly social gatherings where agencies can come together, build familiarity with one another, network, educate one another, and join forces on common goals; creating a type of sister circle where women are supported. - Part 3: the boston girls empowerment network (bgen) is a citywide network established to increase collaboration opportunities for women and girl serving organizations (wsos & gsos) in the boston area. Bgen focuses on primary areas: advocacy, capacity building and collaboration. Bgen: promotes gender-responsive programming, advocates for public policy that benefits women and girls, builds connections between women and girl serving non-profits, public and government organizations, builds the capacity of member organizations to enhance services to women and girls, train and equip new women grassroots leaders to develop gender-specific programs and services and shares research that informs policy and best practices.",65 Mount Hope St,GIRL,312905,834240431,99500.0,,BOSTON GIRLS EMPOWERMENT NETWORK INC,No
115,Friends of Maiti Nepal A Non Profit Corporation,1946500,Friends of Maiti Nepal A Non Profit Corporation,"Part 1: the organization's mission is to raise awareness of the sex trafficking of girls and young women in nepal and india, and to educate the public about the humanitarian work of maiti nepal. The organization also provides care, rehabilitation, and medical support to survivors, as well as to provide literacy and job training programs for the girls. The organization accomplishes this mission by raising money in the us and providing support to the women and girls through grants.",63 Commercial Wharf Apt 6,"GV,WINTL",301624,43567790,245422.0,,FRIENDS OF MAITI NEPAL A NON PROFIT CORPORATION,No
116,Marblehead Youth Hockey Association Inc,1946249,Marblehead Youth Hockey Association Inc,Part 1: to develop the physical characteristics of young athletes according to the presidents program of physical fitness and to promote sportsmanship and supervised competition.,PO Box 1426,"GIRL,WSW",301295,43070954,300.0,,MARBLEHEAD YOUTH HOCKEY ASSOCIATION INC,No
117,Leap Self Defense Inc,1946433,Leap Self Defense Inc,Part 1: to train at-risk girls aged 8-18 in verbal and physical safety skills and self-awareness.,1452 Dorchester Ave,WHSV,297741,43454124,298763.0,,LEAP SELF DEFENSE INC,No
118,Leap Self Defense Inc,1946433,Leap Self Defense Inc,Part 1: to train at-risk girls aged 8-18 in verbal and physical safety skills and self-awareness.,1452 Dorchester Ave,WHSV,297741,43454124,448122.0,,LEAP SELF DEFENSE INC,No
119,Beth Israel Hospital Obstetrics and Gynecology Foundation Inc,1946195,Beth Israel Hospital Obstetrics and Gynecology Foundation Inc,"Part 1: to support medical research, provide instruction, and improve public health. - Part 3: see schedule o",330 Brookline Avenue No Eya-2,WHLTH,294503,42794855,0.0,,BETH ISRAEL HOSPITAL OBSTETRICS AND GYNECOLOGY FOUNDATION INC,No
120,Association of Haitian Women Inc Afab,1946349,Association of Haitian Women Inc Afab,"Part 1: primary exempt purpose - community education, advocacy and organizing. - Part 3: primary exempt purpose - community education,advocacy and organizing",330 Fuller St,WSNW,280154,43268599,376960.0,,ASSOCIATION OF HAITIAN WOMEN INC AFAB,No
121,Girls Incorporated of Taunton,1945751,Girls Incorporated of Taunton,"Part 1: girls incorporated of taunton, Inc. Operates programs for young girls in the greater taunton area which are directed to improving self-confidence and social and educational maturity.",131 Arlington St,"GIRL,WSW",275833,42104248,217328.0,,GIRLS INCORPORATED OF TAUNTON,No
122,Calling All Crows,588901,Calling All Crows,Part 1: the organization partners with musicians and community organizations to build a movement of music fans mobilizing for social change and to improve the lives of women and girls.,7 Eliot St,WADV,271119,263763300,520806.0,,,No
123,Healthworks Community Fitness Inc,1946427,Healthworks Community Fitness Inc,"Part 1: to provide high-quality fitness opportunities and health education for women and children in boston. - Part 3: to provide high-quality fitness opportunities and health education for women and children in boston neighborhoods in order to prevent and treat chronic diseases, improve health and fitness and promote well-being and empowerment.",450 Washington St,WSW,270810,43431534,200927.0,,HEALTHWORKS COMMUNITY FITNESS INC,No
124,Mothers Morning Out Inc,794754,Mothers Morning Out Inc,"Part 1: preschool education and child care programs in westwood, MA and surrounding towns",288 Washington St,WEDUC,268551,364556393,,,MOTHERS MORNING OUT INC,No
125,Massachusetts Breast Cancer Coalition Inc,1946281,Massachusetts Breast Cancer Coalition Inc,"Part 1: massachusetts breast cancer coalition is dedicated to preventing environmental causes of breast cancer through community education, research advocacy, and changes to public policy.",PO Box 202,WHLTH,265502,43144053,229572.0,,MASSACHUSETTS BREAST CANCER COALITION INC,No
126,Northeast Center for Tradeswomens Equity,1940029,Northeast Center for Tradeswomens Equity,Part 1: to raise participation of women in construction,PO Box 192086,"GV,WADV",261734,814461474,,,NORTHEAST CENTER FOR TRADESWOMENS EQUITY,No
127,Raiders Softball Inc,1946437,Raiders Softball Inc,Part 1: to provide girls and young women the opportunity to develop their personal and team softball skills and talent so that they will be able to compete at a highly competitive travel team level in tournaments and showcase tournaments which college coaches attend to recruit players. - Part 3: to teach/instruct girls softball.,101 North Common Street 2nd Floor,GIRL,256308,43464607,1692.0,,RAIDERS SOFTBALL INC,No
128,Elizabeth Seton Academy Inc,1287336,Elizabeth Seton Academy Inc,"Part 1: elizabeth seton academy ran a private, Catholic all girls college preparatory high school that provided a nurturing community for learning.",2223 DORCHESTER AVE,WEDUC,251728,710941605,,,ELIZABETH SETON ACADEMY INC,No
129,League of Women Voters Lotte E Scharfman Memorial Fund,477027,League of Women Voters Lotte E Scharfman Memorial Fund,Part 1: to encourage informed and active citizen participation in government through citizen education and voters service projects.,90 Canal St Ste 414,WSNW,222890,237147454,184197.0,,LEAGUE OF WOMEN VOTERS LOTTE E SCHARFMAN MEMORIAL FUND,No
130,College Hockey America Inc,843623,College Hockey America Inc,"Part 1: to promote intercollegiate women's ice hockey - part 3: to promote, carry out, supervise and control intercollegiate women's ice hockey among member educational institutions. To support charitable and educational activities.",220 Winthrop St Ste 201,GIRL,210873,383847754,17830.0,,COLLEGE HOCKEY AMERICA INC,No
131,Bethesda House Inc,1672778,Bethesda House Inc,Part 1: our mission is to provide a temporary home that is safe and nurturing for young mothers with child and/or mothers parenting their children - part 3: our mission is to provide a temporary home that is safe and nurturing for young mothers with children and/or mothers parenting their children,4 Cross St,GV,199785,474540279,138123.0,,BETHESDA HOUSE INC,No
132,International Association for Premenstrual Disorders Iapmd,1595862,International Association for Premenstrual Disorders Iapmd,Support individuals with pmd,6 Liberty Square 2077,WHSV,192311,472480088,,61646.0,INTERNATIONAL ASSOCIATION FOR PREMENSTRUAL DISORDERS IAPMD,No
133,International Association for Premenstrual Disorders Iapmd,1595862,International Association for Premenstrual Disorders Iapmd,Support individuals with pmd,6 Liberty Square 2077,WHSV,192311,472480088,,80717.0,INTERNATIONAL ASSOCIATION FOR PREMENSTRUAL DISORDERS IAPMD,No
134,International Association for Premenstrual Disorders Iapmd,1595862,International Association for Premenstrual Disorders Iapmd,Support individuals with pmd,6 Liberty Square 2077,WHSV,192311,472480088,,129246.0,INTERNATIONAL ASSOCIATION FOR PREMENSTRUAL DISORDERS IAPMD,No
135,Women Encouraging Empowerment Inc,1946356,Women Encouraging Empowerment Inc,"Part 1: education advocacy and social services for immigrants - part 3: to empower immigrant and refugee women through education, leadership development and collective action, so that they can advocate for dignity and justice in their commumities and become lead organizers",PO Box 13,WART,179531,43286531,,,WOMEN ENCOURAGING EMPOWERMENT INC,No
136,Vanessa T Marcotte Foundation A Nonprofit Corporation,1768136,Vanessa T Marcotte Foundation A Nonprofit Corporation,"Part 1: to empower women to live boldly and fearlessly. We advocate for a world where women live free from objectification and harassment. - Part 3: to empower women to live boldly and fearlessly, and to reduce objectification and harassment. We advocate for safety awareness, gender equality, and violence prevention.",67 West Street Suite 209,ND,179209,814914883,170502.0,,VANESSA T MARCOTTE FOUNDATION A NONPROFIT CORPORATION,No
137,Family Health Project Inc,1814093,Family Health Project Inc,Part 1: dedicated to improving maternal and child health within underserved communities. - Part 3: to improve maternal and child health within underserved communities.,42 Sea St,WHLTH,175965,814999393,236052.0,,FAMILY HEALTH PROJECT INC,No
138,Girls Rock Campaign Boston,630973,Girls Rock Campaign Boston,"Part 1: girls rock campaign boston empowers girls, women, and youth and adults with marginalized gender identities to believe in themselves by building a supportive community that fosters self-expression, confidence, and collaboration through music education and performance.",292 Bellevue St,GIRL,171643,272371435,144342.0,,GIRLS ROCK CAMPAIGN BOSTON,No
139,Abundant Hope Pregnancy Resource Center Inc,642046,Abundant Hope Pregnancy Resource Center Inc,"Part 1: the corporation is organized exclusively for charitable, religious and educational purposes with the meaning of 501 (c)(3) of the internal revenue code, including but not limited to: being a ministry to women and couples facing an unplanned pregnancy especially those considering abortion due to a lack of information and support, to young people unaware of the strength and value of abstinence until marriage and to those already suffering from the violence of abortion.",152 Emory St Unit 4,"GV,RH",163816,273350613,251757.0,,ABUNDANT HOPE PREGNANCY RESOURCE CENTER INC,No
140,Asian Women for Health Inc,710397,Asian Women for Health Inc,"Part 1: to advance asian womens health and wellness through education, advocacy, and support.",50 Milk Street,WHLTH,160090,320390494,294576.0,,ASIAN WOMEN FOR HEALTH INC,No
141,Asian Women for Health Inc,710397,Asian Women for Health Inc,"Part 1: to advance asian womens health and wellness through education, advocacy, and support.",50 Milk Street,WHLTH,160090,320390494,487207.0,,ASIAN WOMEN FOR HEALTH INC,No
142,Women in the Enterprise of Science and Technology Inc,1946478,Women in the Enterprise of Science and Technology Inc,See schedule o,1 Broadway Ste 14,WPSB,157900,43534113,,146318.0,WOMEN IN THE ENTERPRISE OF SCIENCE AND TECHNOLOGY INC,No
143,Survivingbreastcancer,1940775,Survivingbreastcancer,"Part 1: to empower those diagnosed with breast cancer, and their caregivers, the organization is committed to providing the resources and platform for navigating a breast cancer diagnosis.",5 Cedar Street Unit 1,"WHLTH,WHSV",156346,822953427,207720.0,,SURVIVINGBREASTCANCER,No
144,Taunton Girls Softball Inc,1946736,Taunton Girls Softball Inc,Part 1: to develop skills to play competitive softball,PO Box 2291,GIRL,155250,46360759,,,TAUNTON GIRLS SOFTBALL INC,No
145,Massachusets Coalition of Taft Hartley Tr Funds Labor Health and Fi,1992515,Massachusets Coalition of Taft Hartley Tr Funds Labor Health and Fi,"The organization's purpose is to be a community health and wellness charity serving to improve the health and wellness throughout the area. It aims to help improve the treatment for prevention of diseases as well as disease management for those with health challenges in union families. The organization will support the empowerment of women and minorities by offering educational opportunities, seminars and conferences.",16 Sever St,WHLTH,152116,320609287,,0.0,MASSACHUSETS COALITION OF TAFT HARTLEY TR FUNDS LABOR HEALTH AND FI,No
146,Foundation for the History of Women in Medicine,448663,Foundation for the History of Women in Medicine,Support and enhance drexel univ. School of medicine,800 Boylston St Unit 990251,WART,150605,232981994,,39680.0,FOUNDATION FOR THE HISTORY OF WOMEN IN MEDICINE,No
147,Mass Drifters Junior Olympic Softball,323521,Mass Drifters Junior Olympic Softball,"Part 1: in accordance with our mission we accepted and trained 138 young female athletes for this year - part 3: the purpose of this organization is to educate, encourage and promote the growth of girls softball while preserving the integrity of the game. We focus on total player development, building a tradition for the future of our athletes, to improve their tactical and technical softball training while educating players about sportsmanship, teamwork, fellowship, courtesy, discipline and integrity.",10 Old Willis Farm Rd,GEN,146106,113824951,165744.0,,MASS DRIFTERS JUNIOR OLYMPIC SOFTBALL,No
148,How House,645283,How House,Organization provides sober house residences for women,41 Van Winkle St,WHSV,144824,273614882,,154573.0,HOW HOUSE,No
149,Aruna Partnership Inc,1946264,Aruna Partnership Inc,"Part 1: the organization supports education, healthcare, women's development, child welfare, job training, cottage industry, and community development in an impoverished section of south india.",90 Phillips Ave,WSW,142049,43106756,171898.0,,ARUNA PARTNERSHIP INC,No
150,Girl Security,1935183,Girl Security,"Part 1: empower girls and young women - part 3: girls and women grow up in a world in which they are taught to fear everything, but secured from nothing. From childhood through adulthood, they devise responses to an array of threats to their personal security. Their security insights are unparalleled. However, outmoded norms, systemic bias and discrimination, lack of visible role models, and lack of visible pathways have impeded their advancement across the security sector. Girl security's mission centers the experiences of underrepresented communities and populations targeted by violence at the core of its model: through trauma-informed training, mentoring, and professional advancement, participants can fulfill their economic potential in this consequential sector and lead solutions to the world's most pressing security challenges.",132 Chief Justice Cushing Hwy,WINTL,141150,384087274,1190007.0,,GIRL SECURITY,No
151,Route One Ministry Inc,2164361,Route One Ministry Inc,To help sexually exploited women,8 Spring Garden St,WHSV,139084,842382448,,133226.0,ROUTE ONE MINISTRY INC,No
152,The Wellesley Hills Junior Womans Club Inc,412855,The Wellesley Hills Junior Womans Club Inc,"The organization supports community groups through direct service, raises money for scholarships, and funds organizations and programs that provide education, enrichment, and essential services to the community.",PO Box 81278,WSNW,137187,222512601,,89882.0,THE WELLESLEY HILLS JUNIOR WOMANS CLUB INC,No
153,Womans Friend Society,1945778,Womans Friend Society,Part 1: low cost housing facilityies for woman - part 3: low cost housing facilities for woman,12 Hawthorne Blvd,GV,136393,42121657,22322.0,,WOMANS FRIEND SOCIETY,No
154,Rhythmic Dreams Inc,1945635,Rhythmic Dreams Inc,"To promote and provide physical fitness for youth girls through instruction and training in rhythmic gymnastics, including preparation for state, regional, national and international competition, either individual or group",22 Harrison Rd,GIRL,127799,30468317,,,RHYTHMIC DREAMS INC,No
155,Jordan Hospital Club Inc,482696,Jordan Hospital Club Inc,"Part 1: the mission of the organization is to render assistance to beth Israel deaconess hospital-plymouth, its patients and families and the community at large through service, public relations and fundraising as approved by the board of directors.",275 Sandwich St,WHLTH,127662,237181730,211882.0,,JORDAN HOSPITAL CLUB INC,No
156,Hellenic Womens Club Inc,1946262,Hellenic Womens Club Inc,,45 York Ter,WSNW,125894,43105708,244765.0,121526.0,HELLENIC WOMENS CLUB INC,No
157,Hellenic Womens Club Inc,1946262,Hellenic Womens Club Inc,,45 York Ter,WSNW,125894,43105708,244765.0,172608.0,HELLENIC WOMENS CLUB INC,No
158,Hellenic Womens Club Inc,1946262,Hellenic Womens Club Inc,,45 York Ter,WSNW,125894,43105708,244765.0,122827.0,HELLENIC WOMENS CLUB INC,No
159,Adams Temple and School Fund,965866,Adams Temple and School Fund,Part 1: making grants to support the woodward school for girls,PO Box 51400,WEDUC,123851,454913438,0.0,,ADAMS TEMPLE AND SCHOOL FUND,No
160,Mediagirls Inc,1748272,Mediagirls Inc,"To teach girls and young women to discover their self-worth, and use social media to speak up for their beliefs.",145 Commercial St Apt 403,GIRL,121194,812755512,,,MEDIAGIRLS INC,No
161,Sargent Murray Gilman Hough House Assn,298948,Sargent Murray Gilman Hough House Assn,"Part 1: maintain and operate a historic house for members and the general public. - Part 3: the organization's mission is to engage the public in the life, times, and writings of judith sargent murray, a pioneering advocate of women's education and equality.",49 Middle St,"GV,ND",119790,46038785,15878.0,,SARGENT MURRAY GILMAN HOUGH HOUSE ASSN,No
162,Massachusetts Womens Pol Caucus Leadership Dev Edu and Research Fnd,1946158,Massachusetts Womens Pol Caucus Leadership Dev Edu and Research Fnd,Part 1: the massachusetts women's political caucus is a multipartisan organization founded in 1971 to maximize the participation of women of all ages in the political process and to increase the number of women appointed and elected to public office and public policy positions.,89 South St Ste 603,WPSB,115742,42738443,162985.0,,MASSACHUSETTS WOMENS POL CAUCUS LEADERSHIP DEV EDU AND RESEARCH FND,No
163,Islamic Multi Service Organization Inc,291552,Islamic Multi Service Organization Inc,"Part 1: the islamic multi-service organization is a not-for-profit community-based organization established to address the socio-economic concerns of underprivileged and poor individuals and families in the boston area irrespective of their racial, religious, or social background. Imso runs a food pantry and educational programs for people in the inner city. The imso food pantry is part of this effort and provides continuous help to certain families including refugees, single mothers, and the elderly. - Part 3: the islamic multi-service organization is a not-for-profit community-based organization established to address the socio-economic concerns of under-privileged and poor individuals and families in the boston area irrespective of their racial, religious, or social background. Imso runs a food pantry and educational programs for people in the inner city. The imso food pantry is part of this effort and provides continuous help to certain families including refugees, single mothers, and the elderly.",722 Shawmut Ave # 724,WRELIG,115551,43338801,436784.0,,ISLAMIC MULTI SERVICE ORGANIZATION INC,No
164,National Society of the Daughters of the American Revolution Massachusetts State Society DAR,1946687,National Society of the Daughters of the American Revolution Massachusetts State Society DAR,Part 1: educational awards and scholarships.,7 Ferndale Dr,GEN,111248,46109477,,,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MASSACHUSETTS STATE SOCIETY DAR,No
165,Sitters Without Borders Inc,1668479,Sitters Without Borders Inc,Free childcare to poor working mothers in college classes,202 Washington St Ste 340,WINTL,110390,465324408,,121146.0,SITTERS WITHOUT BORDERS INC,No
166,Massachusetts General Hospital Nurses Alumnae Association Inc,1945776,Massachusetts General Hospital Nurses Alumnae Association Inc,Part 1: educational support of nurses and nursing programs,PO Box 6234,WSNW,109030,42121358,58174.0,,MASSACHUSETTS GENERAL HOSPITAL NURSES ALUMNAE ASSOCIATION INC,No
167,Keysteps Inc,1945864,Keysteps Inc,"To provide a comprehensive range of wrap-around services and support for at-risk school-age youth in order to ensute that they stay in shcool and gain the skills and emotional resilency to become educated productive adults and citizens who contribute to society. Provide year-round school- based counseling services, outreach and home visitation, and summertime outreach and life skills education.",206 Minot Street Unit 304 Attnbette,"WEDUC,WHLTH",102852,42681753,,,KEYSTEPS INC,No
168,Harvey Girls Inc,1612764,Harvey Girls Inc,To provide clothing and essential items for the families at risk and to provide opportunities for youth.,184 Pleasant Valley St,"GIRL,WSW",100254,473237138,,87500.0,HARVEY GIRLS INC,No
169,Dedham Womens Exchange Inc,1945795,Dedham Womens Exchange Inc,"Part 1: the organizations mission is to promote womens welfare, their fellowship and cooperation and their education, industrial and economic advancement.",445 Washington St,WHSV,98759,42258361,34610.0,,DEDHAM WOMENS EXCHANGE INC,No
170,Hearth Inc 4 Bishop Street Inc,420700,Hearth Inc 4 Bishop Street Inc,Operates nine units of housing for formerly homeless elderly women.,1640 Washington Street,GV,98501,223135170,,,HEARTH INC 4 BISHOP STREET INC,No
171,Sarita and Claire Wright Lucas Foundation Inc,1658472,Sarita and Claire Wright Lucas Foundation Inc,"The sarita and claire wright lucas foundation (scwlf) was created in 2015 to honor sarita wright lucas and her daughter, claire. The foundation, in recognition of sarita's integrity and passion for justice, supports african american female law students who are committed to serving the public and pursuing careers in prosecution",378 Columbus Ave,WEDUC,96937,474686627,,71383.0,SARITA AND CLAIRE WRIGHT LUCAS FOUNDATION INC,No
172,Hingham Girls Hockey Boosters Inc,350401,Hingham Girls Hockey Boosters Inc,Facilitate and advance opportunities for girls to play ice hockey in the town of hingham at their own and their teams' collective competitive abilities.,PO Box 572,GIRL,93957,201546869,,2576.0,HINGHAM GIRLS HOCKEY BOOSTERS INC,No
173,Massachusetts Association of Women in Law Enforcement Inc,1066479,Massachusetts Association of Women in Law Enforcement Inc,Charitable and fraternal,24 Beacon Street,WSNW,91025,510511652,,,MASSACHUSETTS ASSOCIATION OF WOMEN IN LAW ENFORCEMENT INC,No
174,Greenlight for Girls,1960381,Greenlight for Girls,,28 Holly Ln,WEDUC,90000,843768326,,90000.0,GREENLIGHT FOR GIRLS,No
175,Jahan Women and Youth Intercultural Organization,1960716,Jahan Women and Youth Intercultural Organization,Social services and cultural awareness,188 Highland St,WART,86829,844959034,,86829.0,JAHAN WOMEN AND YOUTH INTERCULTURAL ORGANIZATION,No
176,Dartmouth Girls Little League Inc,1946339,Dartmouth Girls Little League Inc,Recreational youth athletic league,PO Box 70064,GIRL,85919,43254116,,,DARTMOUTH GIRLS LITTLE LEAGUE INC,No
177,Asian American Womens Political Initiative Inc,1959322,Asian American Womens Political Initiative Inc,"Part 1: organizing networking, educational and leadership forums for asian-american women, building relationships and coalitions with high school and college student groups, women's organizations, racial minority organizations and other organizations to address common concerns for asian-american women and advocating for the inclusion of asian-american women in leadership positions.",35 Faywood Ave Apt 2,WADV,85495,371948314,294729.0,,ASIAN AMERICAN WOMENS POLITICAL INITIATIVE INC,No
178,Megagpo Inc,360331,Megagpo Inc,Booster club for girl's gymnastics team,725 Main Street,GIRL,84806,202576370,,,MEGAGPO INC,No
179,Charlestown Mothers Association Inc,1946469,Charlestown Mothers Association Inc,"Support community and family programs in charlestown, massachusetts, with the goal of preserving charlestown as a safe, clean and happy environment in which to raise families. Currently has membership of over 1,500 families.",36 Cross St,WADV,75497,43521379,,44621.0,CHARLESTOWN MOTHERS ASSOCIATION INC,No
180,Gk Fund Inc Gk Fund,2202482,Gk Fund Inc Gk Fund,"The organization's mission is to support the growth of minority and women owned or operated companies. The fund will serve as a vehicle for corporations and nonprofits to make social investments, create new initiatives, offer resources, engage in mentoring and take other measures.",529 Main St Ste P200,WPSB,75000,845048084,,119086.0,GK FUND INC GK FUND,No
181,1st Lieutenant Derek Hines Soldiersassistance Fund Inc,554788,1st Lieutenant Derek Hines Soldiersassistance Fund Inc,"The organization raises funds to benefit military servicemen and women directly, and by donating to other nonprofit organizations which support military servicemen and women and families",6 Chase St,WSW,70766,260752782,,22704.0,1ST LIEUTENANT DEREK HINES SOLDIERSASSISTANCE FUND INC,No
182,General Federation of Womens Clubs of Massachusetts Inc League of Women Community Service,469414,General Federation of Womens Clubs of Massachusetts Inc League of Women Community Service,"Part 1: to provide education about the history of african americans in boston through programs, workshops, papers, etc. Which provide information relative to literary and historic preservation, undertaking civic, social, educational, and charitable purpose for the benefit of the community.",558 Massachusetts Ave,WPSB,70726,237107406,,,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC LEAGUE OF WOMEN COMMUNITY SERVICE,No
183,Duxbury Girls Youth Basketball Inc,699780,Duxbury Girls Youth Basketball Inc,Youth recreation basketball,3 Seadrift Way,GIRL,70026,311802796,,0.0,DUXBURY GIRLS YOUTH BASKETBALL INC,No
184,Worthy Village Inc,1699395,Worthy Village Inc,Part 1: organization dedicated to providing impoverished women and children of guatemala with a better quality of life.,481 Forest St,WINTL,69355,472349032,113419.0,,WORTHY VILLAGE INC,No
185,Tough Warrior Princesses,656073,Tough Warrior Princesses,To raise funds for breast cancer research and other charities,80 Monroe St,WHLTH,68372,274857745,,131019.0,TOUGH WARRIOR PRINCESSES,No
186,Mercy for Mamas,980578,Mercy for Mamas,To provide women in uganda with proper supplies and education needed to give birth.,20 Free St,WRELIG,68011,460693097,,77167.0,MERCY FOR MAMAS,No
187,Mercy for Mamas,980578,Mercy for Mamas,To provide women in uganda with proper supplies and education needed to give birth.,20 Free St,WRELIG,68011,460693097,,68011.0,MERCY FOR MAMAS,No
188,Mercy for Mamas,980578,Mercy for Mamas,To provide women in uganda with proper supplies and education needed to give birth.,20 Free St,WRELIG,68011,460693097,,74236.0,MERCY FOR MAMAS,No
189,Ruths Way,1729365,Ruths Way,Sober house for women,23 Swan Ave,WSW,66484,471662346,,113944.0,RUTHS WAY,No
190,Walpole Girls Softball Association,357980,Walpole Girls Softball Association,Promotesupport walpole girls softball,11 Forsythia Dr,GIRL,66482,202310717,,,WALPOLE GIRLS SOFTBALL ASSOCIATION,No
191,Crew Boston Educational Foundation Inc,580545,Crew Boston Educational Foundation Inc,The foundation's primary purpose and activity will be to establish a scholarship program whereby it will award scholarships to women pursuing higher education fields and/or studies relating to the commercial real estate industry in accordance with established procedures and to raise monies to fund the scholarship program.,101 Federal St Ste 1900,WEDUC,64242,263108444,,3181.0,CREW BOSTON EDUCATIONAL FOUNDATION INC,No
192,West Roxbury Friends of Rosies Place,1432907,West Roxbury Friends of Rosies Place,To help serve women in need and their children.,9 Garth Rd,GV,60889,841703424,,42028.0,WEST ROXBURY FRIENDS OF ROSIES PLACE,No
193,Womens Community Committee Inc,1945759,Womens Community Committee Inc,"To raise money and earn money through operating thrift shop to financially support other charitable organizations, incorporated organizations or individuals in the local community.",1091 Washington St,WPSB,60127,42104435,,0.0,WOMENS COMMUNITY COMMITTEE INC,No
